doc_id,so_ky_hieu,short_title,topic,article_index,article_no,article_title,chunk_text,char_count,extraction_status,recommended_chunking
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,1,Điều 1,Nhiệm vụ của Bộ luật hình sự,"Điều 1. Nhiệm vụ của Bộ luật hình sự
Bộ luật hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm.
Bộ luật này quy định về tội phạm và hình phạt.",454,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,2,Điều 2,Cơ sở của trách nhiệm hình sự,"Điều 2. Cơ sở của trách nhiệm hình sự
1. Chỉ người nào phạm một tội đã được Bộ luật hình sự quy định mới phải chịu trách nhiệm hình sự.
2. Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự.",260,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,3,Điều 3,Nguyên tắc xử lý,"Điều 3. Nguyên tắc xử lý
1. Đối với người phạm tội:
a) Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;
b) Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;
c) Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội;
d) Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng.
Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, ăn năn, hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;
đ) Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;
e) Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;
g) Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.
2. Đối với pháp nhân thương mại phạm tội:
a) Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;
b) Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;
c) Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng;
d) Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan tiến hành tố tụng trong quá trình giải quyết vụ án, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra.",2040,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,4,Điều 4,Trách nhiệm phòng ngừa và đấu tranh chống tội phạm,"Điều 4. Trách nhiệm phòng ngừa và đấu tranh chống tội phạm
1. Cơ quan Công an, Viện kiểm sát nhân dân, Tòa án nhân dân và các cơ quan hữu quan khác có trách nhiệm thực hiện đầy đủ chức năng, nhiệm vụ, quyền hạn của mình, đồng thời hướng dẫn, giúp đỡ các cơ quan khác của Nhà nước, tổ chức, cá nhân phòng ngừa và đấu tranh chống tội phạm, giám sát và giáo dục người phạm tội tại cộng đồng.
2. Cơ quan, tổ chức có nhiệm vụ giáo dục những người thuộc quyền quản lý của mình nâng cao cảnh giác, ý thức bảo vệ và tuân theo pháp luật, tôn trọng các quy tắc của cuộc sống xã hội chủ nghĩa; kịp thời có biện pháp loại trừ nguyên nhân và điều kiện gây ra tội phạm trong cơ quan, tổ chức của mình.
3. Mọi công dân có nghĩa vụ tích cực tham gia phòng, chống tội phạm.
Chương
II
HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ",795,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,5,Điều 5,Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam,"Điều 5. Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam
1. Bộ luật hình sự được áp dụng đối với mọi hành vi phạm tội thực hiện trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.
Quy định này cũng được áp dụng đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển mang quốc tịch Việt Nam hoặc tại vùng đặc quyền kinh tế, thềm lục địa của Việt Nam.
2. Đối với người nước ngoài phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam thuộc đối tượng được hưởng quyền miễn trừ ngoại giao hoặc lãnh sự theo pháp luật Việt Nam, theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc theo tập quán quốc tế, thì vấn đề trách nhiệm hình sự của họ được giải quyết theo quy định của điều ước quốc tế hoặc theo tập quán quốc tế đó; trường hợp điều ước quốc tế đó không quy định hoặc không có tập quán quốc tế thì trách nhiệm hình sự của họ được giải quyết bằng con đường ngoại giao.",1006,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,6,Điều 6,Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam,"Điều 6. Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam
1. Công dân Việt Nam hoặc pháp nhân thương mại Việt Nam có hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam mà Bộ luật này quy định là tội phạm, thì có thể bị truy cứu trách nhiệm hình sự tại Việt Nam theo quy định của Bộ luật này.
Quy định này cũng được áp dụng đối với người không quốc tịch thường trú ở Việt Nam.
2. Người nước ngoài, pháp nhân thương mại nước ngoài phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp hành vi phạm tội xâm hại quyền, lợi ích hợp pháp của công dân Việt Nam hoặc xâm hại lợi ích của nước Cộng hòa xã hội chủ nghĩa Việt Nam hoặc theo quy định của điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.
3. Đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển không mang quốc tịch Việt Nam đang ở tại biển cả hoặc tại giới hạn vùng trời nằm ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì người phạm tội có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định.",1315,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,7,Điều 7,Hiệu lực của Bộ luật hình sự về thời gian,"Điều 7. Hiệu lực của Bộ luật hình sự về thời gian
1. Điều luật được áp dụng đối với một hành vi phạm tội là điều luật đang có hiệu lực thi hành tại thời điểm mà hành vi phạm tội được thực hiện.
2. Điều luật quy định một tội phạm mới, một hình phạt nặng hơn, một tình tiết tăng nặng mới hoặc hạn chế phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, xóa án tích và quy định khác không có lợi cho người phạm tội, thì không được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.
3. Điều luật xóa bỏ một tội phạm, một hình phạt, một tình tiết tăng nặng, quy định một hình phạt nhẹ hơn, một tình tiết giảm nhẹ mới hoặc mở rộng phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, tha tù trước thời hạn có điều kiện, xóa án tích và quy định khác có lợi cho người phạm tội, thì được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.
Chương
III
TỘI PHẠM",1050,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,8,Điều 8,Khái niệm tội phạm,"Điều 8. Khái niệm tội phạm
1. Tội phạm là hành vi nguy hiểm cho xã hội được quy định trong Bộ luật hình sự, do người có năng lực trách nhiệm hình sự hoặc pháp nhân thương mại thực hiện một cách cố ý hoặc vô ý, xâm phạm độc lập, chủ quyền, thống nhất, toàn vẹn lãnh thổ Tổ quốc, xâm phạm chế độ chính trị, chế độ kinh tế, nền văn hóa, quốc phòng, an ninh, trật tự, an toàn xã hội, quyền, lợi ích hợp pháp của tổ chức, xâm phạm quyền con người, quyền, lợi ích hợp pháp của công dân, xâm phạm những lĩnh vực khác của trật tự pháp luật xã hội chủ nghĩa mà theo quy định của Bộ luật này phải bị xử lý hình sự.
2. Những hành vi tuy có dấu hiệu của tội phạm nhưng tính chất nguy hiểm cho xã hội không đáng kể thì không phải là tội phạm và được xử lý bằng các biện pháp khác.",767,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,9,Điều 9,Phân loại tội phạm,"Điều 9. Phân loại tội phạm
Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành bốn loại sau đây:
1. Tội phạm ít nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm;
2. Tội phạm nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm đến 07 năm tù;
3. Tội phạm rất nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm đến 15 năm tù;
4. Tội phạm đặc biệt nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm đến 20 năm tù, tù chung thân hoặc tử hình.",1044,ok,chunk_by_article
100/2015/QH13,100/2015/QH13,Bộ luật Hình sự,criminal_law,10,Điều 10,Cố ý phạm tội,"Điều 10. Cố ý phạm tội
Cố ý phạm tội là phạm tội trong những trường hợp sau đây:
1. Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó và mong muốn hậu quả xảy ra;
2. Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó có thể xảy ra, tuy không mong muốn nhưng vẫn có ý thức để mặc cho hậu quả xảy ra.",405,ok,chunk_by_article
